telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
0,1,0,2,4,1,58,22,0
0,1,0,1,6,1,75,7,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,22,31,0
0,1,1,1,5,1,51,16,0
0,0,0,1,5,1,58,18,0
0,1,1,1,5,5,89,20,0
0,1,1,1,5,1,58,18,0
0,1,1,1,0,1,58,18,0
0,1,0,3,2,4,39,7,0
0,0,0,1,5,1,58,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,0,1,72,18,0
0,1,1,1,6,9,35,23,0
0,1,0,1,0,1,61,31,0
0,1,1,1,3,1,37,31,0
0,1,0,1,5,1,61,12,0
0,1,1,1,5,1,58,18,0
0,1,0,1,5,1,58,18,0
0,0,0,1,5,1,58,18,0
0,1,0,1,5,1,58,22,0
0,1,0,1,5,5,24,12,0
0,1,1,1,5,1,119,31,0
0,1,0,1,3,9,61,31,0
0,0,0,1,5,1,58,18,0
0,1,1,1,5,1,58,18,0
0,1,0,1,0,1,89,22,0
0,1,0,1,0,5,51,16,0
0,0,0,1,5,1,72,18,0
0,1,0,1,2,4,26,1,0
0,1,0,1,2,4,22,7,0
0,1,0,1,0,9,22,12,0
0,1,1,1,2,9,23,23,0
0,1,1,1,5,1,88,12,0
0,1,1,1,5,1,75,18,0
0,1,1,0,5,1,31,18,0
0,1,0,0,5,1,31,18,0
0,0,0,1,5,1,88,12,0
0,1,1,1,5,1,22,9,0
0,1,0,1,2,4,39,1,0
0,1,1,0,5,1,31,18,0
0,1,1,0,5,1,31,18,0
0,0,0,1,2,1,22,12,0
0,1,0,1,2,4,26,7,0
0,1,0,1,2,4,22,7,0
0,1,0,1,5,1,11,31,0
0,0,0,1,2,1,8,18,0
0,1,0,1,2,4,39,1,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,4,37,7,0
0,1,0,1,2,4,41,25,0
0,1,0,1,2,4,31,1,0
0,1,0,1,5,1,58,18,0
0,0,0,1,0,1,39,18,0
0,1,0,1,5,1,58,18,0
0,1,1,1,5,1,58,18,0
0,1,0,1,5,1,58,18,0
0,1,1,1,5,1,51,18,0
0,1,0,1,0,1,22,22,0
0,1,1,1,6,9,58,9,0
0,1,1,0,2,1,31,11,0
0,1,1,1,2,4,42,34,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,4,51,7,0
0,0,0,1,5,1,58,18,0
0,1,1,1,5,9,22,12,0
0,1,1,1,5,1,58,18,0
0,0,0,1,5,1,58,18,0
0,0,0,1,5,1,58,18,0
0,0,1,0,5,1,58,18,0
0,1,0,1,5,1,58,22,0
0,1,1,1,0,4,8,7,0
0,1,0,3,2,4,39,7,0
0,0,0,1,5,1,49,18,0
0,1,0,3,2,4,59,1,0
0,1,1,1,5,5,30,12,0
0,1,1,1,0,4,51,16,0
0,0,0,1,5,1,22,18,0
1,0,0,1,5,1,8,5,0
0,1,1,1,5,1,58,24,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,4,39,7,0
0,1,1,4,0,9,27,31,0
0,1,0,1,2,4,26,7,0
0,1,0,3,2,4,37,7,0
0,1,1,1,0,1,39,14,0
0,1,0,1,2,4,51,1,0
0,1,0,1,2,4,59,7,0
0,1,1,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,0,1,75,22,0
0,1,0,1,5,1,118,6,0
1,0,0,1,2,4,26,17,0
0,1,0,1,2,4,39,1,0
0,1,1,1,6,4,58,1,0
0,1,0,1,1,5,61,22,0
0,1,0,1,5,1,39,18,0
0,1,0,1,2,4,26,7,0
0,1,1,1,5,4,88,23,1
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
1,1,0,1,2,1,61,22,0
0,1,0,1,2,4,39,7,0
0,0,0,1,5,1,58,18,0
1,1,1,1,5,1,61,18,0
0,1,1,1,4,4,58,18,0
0,1,0,1,6,9,124,18,0
0,0,1,1,5,1,22,26,0
0,1,0,1,1,1,72,20,0
0,1,0,1,2,4,51,7,0
0,1,0,3,2,4,51,7,0
0,1,0,3,2,4,59,7,0
0,1,0,1,5,1,67,20,0
1,1,0,1,5,1,58,31,0
0,1,1,1,6,4,53,17,0
0,1,1,1,2,1,61,1,0
0,1,1,1,5,1,58,18,0
0,1,0,1,1,1,22,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,0,4,26,1,0
0,1,1,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
0,1,1,0,5,1,31,18,0
0,1,0,3,2,4,31,7,0
0,1,1,1,0,1,75,22,0
0,1,0,1,5,1,61,18,0
0,1,1,1,0,9,94,31,0
0,1,1,4,4,7,38,18,0
0,1,0,1,2,4,119,7,0
0,1,0,1,2,4,59,7,0
0,1,1,4,0,9,27,31,0
0,1,0,1,5,1,22,9,0
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,39,31,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,4,119,7,0
0,1,1,1,5,1,58,18,0
0,1,0,1,2,4,39,7,0
0,1,0,1,2,4,37,7,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,4,66,7,0
0,1,0,1,5,1,58,18,0
0,1,1,0,2,1,31,11,0
0,0,0,1,5,1,58,18,1
0,1,0,1,0,9,22,23,0
0,1,0,1,2,4,119,7,0
0,0,0,1,5,1,58,18,0
0,1,1,1,0,1,22,18,0
0,1,0,1,5,1,22,31,0
0,1,0,1,0,9,75,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,70,31,0
0,1,1,1,5,1,61,25,0
0,0,0,0,5,4,71,25,0
0,0,0,1,0,4,107,7,0
0,1,0,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
1,0,1,0,5,1,58,7,0
0,1,1,1,5,1,58,18,0
0,0,0,1,0,4,76,21,0
0,0,1,1,1,1,58,18,0
0,1,0,1,5,1,103,27,0
0,1,0,1,2,4,26,7,0
0,1,0,1,2,1,119,22,0
0,1,1,1,4,1,22,22,0
0,0,0,1,5,5,25,31,0
0,0,0,1,2,4,39,31,0
0,1,0,1,2,1,75,1,0
0,1,0,1,2,4,39,7,0
0,1,1,1,5,1,58,18,0
0,1,0,1,0,10,75,18,0
0,1,0,1,0,1,79,18,0
0,1,1,1,5,2,32,23,1
0,1,1,1,0,1,27,31,0
0,1,0,3,2,4,39,1,0
0,1,1,0,5,1,31,18,0
0,1,1,2,2,4,39,18,0
0,1,1,1,1,1,75,33,0
0,1,1,1,5,1,58,17,0
0,0,0,1,5,1,58,31,1
0,1,1,0,5,1,31,18,0
0,1,1,1,5,1,88,12,0
0,0,0,1,5,1,51,16,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,27,18,0
0,1,0,1,2,4,66,1,0
0,1,1,3,2,7,79,23,0
0,1,1,0,5,1,31,18,0
0,1,1,0,5,1,31,18,0
0,0,0,1,2,4,39,31,0
0,0,0,1,5,1,58,18,0
0,0,0,1,5,1,51,18,0
0,0,1,1,2,1,52,18,0
0,1,0,1,5,1,58,18,0
0,1,1,1,5,1,61,18,0
0,1,1,0,5,1,31,18,0
0,1,1,1,5,1,58,18,0
0,1,1,1,2,1,39,5,0
0,1,0,1,5,1,58,18,0
0,1,1,1,5,1,75,2,0
0,1,0,1,5,1,22,18,0
0,1,1,0,5,1,31,18,0
0,0,0,1,5,1,22,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,2,1,24,7,0
0,1,0,1,6,9,26,7,0
0,1,0,1,2,4,26,7,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,4,51,7,0
0,1,0,3,2,4,26,7,0
0,1,0,1,2,1,119,18,0
0,1,0,1,2,4,26,7,0
0,1,0,1,2,4,31,1,0
0,0,0,1,5,1,58,18,0
0,1,1,1,5,4,88,23,1
0,1,1,0,5,1,31,18,0
0,1,0,1,1,1,22,20,0
0,1,0,1,2,9,58,25,0
0,1,0,1,1,5,119,31,0
0,1,0,1,5,4,85,20,0
0,1,1,1,5,4,58,1,0
0,1,1,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,4,31,7,0
0,1,0,1,2,1,39,13,0
0,1,1,0,5,1,31,18,0
0,0,0,1,6,9,74,2,0
0,1,1,1,0,4,8,7,0
0,0,0,1,0,2,58,18,0
0,1,0,1,2,4,66,7,0
0,1,1,0,5,1,31,18,0
0,1,1,1,6,4,58,1,0
0,1,0,1,0,1,61,18,0
0,1,1,1,5,1,58,18,0
0,1,0,1,6,4,58,31,0
0,1,0,0,5,1,58,18,0
0,1,1,0,5,1,31,18,0
0,1,1,1,6,9,31,16,0
0,0,0,1,5,1,58,18,0
0,1,0,1,2,4,39,7,0
0,1,1,1,0,1,39,13,0
0,0,1,1,6,9,6,31,0
0,1,0,0,5,1,31,18,0
0,0,0,1,5,1,58,18,0
0,1,1,1,2,1,39,5,0
0,1,1,0,5,1,31,18,0
0,1,1,1,5,1,39,27,0
0,1,1,1,5,1,39,31,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,0,1,22,18,0
0,0,0,1,5,1,58,18,0
